Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Chain of Souls,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
Re-Mission,Action,N/A%,2006.0,No information filled,unspecified,Yvonne Maverick,unspecified
Circuit's Adventure,"Action, Fantasy",N/A%,2019.0,It is the day of the festival. The anniversary of when the fallen hero LaRoc mysteriously disappeared and stopped attacking the people of Taldor.,unspecified,Chisholm Morris,unspecified
Donkey Kong,Action,67%,1988.0,No information filled,unspecified,unspecified,Unrated
Polybius,Action,N/A%,2007.0,A game based on the urban legend of the 1981 arcade game Polybius.,unspecified,Ygor Euspanes,unspecified
Metal Mutant,"Action, Sci-Fi",62%,1991.0,No information filled,unspecified,unspecified,unspecified
DED,"Action, Crime",N/A%,2017.0,"Your granddaughter has been kidnapped, and your daughter and son-in-law murdered. Having just bits and pieces of information about the abductors, you will have to save your granddaughter and find the masterminds behind these crimes.",unspecified,unspecified,unspecified
Void Raiders,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Neon Seoul Outrun,Action,N/A%,2017.0,No information filled,unspecified,unspecified,unspecified
HeliFire,Action,N/A%,1980.0,No information filled,unspecified,unspecified,unspecified
Cross X Logos,Action,N/A%,2019.0,No information filled,unspecified,unspecified,unspecified
Super SkyKid,"Action, War",N/A%,1986.0,No information filled,unspecified,unspecified,unspecified
Boulder Dash-XL,Action,N/A%,2012.0,No information filled,unspecified,unspecified,E
Purizumu fantajia: Seirei monogatari,Action,N/A%,2015.0,No information filled,unspecified,unspecified,unspecified
Robot Ponkottsu: Star Version,"Action, Adventure, Family",N/A%,1998.0,No information filled,unspecified,unspecified,unspecified
Cilty Heal,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
ArmA 2: Operation Arrowhead,Action,71%,2010.0,No information filled,unspecified,unspecified,15
Super Astro Fighter,"Action, Sci-Fi",N/A%,1981.0,No information filled,unspecified,unspecified,unspecified
Puroresurâ o tsukurou!: The Golden Hour,Action,N/A%,2014.0,No information filled,unspecified,unspecified,unspecified
Chain Cronicle 3,Action,N/A%,2016.0,No information filled,unspecified,unspecified,unspecified
Graditor,Action,N/A%,1992.0,No information filled,unspecified,unspecified,unspecified
Samurai G,Action,N/A%,2012.0,No information filled,unspecified,unspecified,unspecified
Zombyte,Action,N/A%,2018.0,No information filled,unspecified,unspecified,unspecified
Serious Sam's Bogus Detour,"Action, Adventure, Sci-Fi",62%,2017.0,No information filled,unspecified,John J. Dick,unspecified
Otomedius Excellent,"Action, Adventure, Fantasy",84%,2011.0,The Bacterians have invaded Earth and now it's up to Aoba Anoa and her friends to stop them.,Toshiyasu Kamiko,"Rina Satô, Noriko Shitaya, Sawa Ishige, Hitomi Nabatame",T
