Game Title,Genre(s),User Rating (out of 100),Year,Summary,Director,Starring,Certificate
Angry Goy II,"Action, Comedy",75%,2018.0,No information filled,Moon Man,Moon Man,unspecified
Maximum Surge,"Action, Sci-Fi",43%,1996.0,"Unreleased FMV game, in which the player helps female commando Jo battle Drexel, a madman who wants to turn everyone into cyborgs, and join his army of abominations.",William Mesa,"Yasmine Bleeth, Michael Champion, Walter Koenig, Andy Hirsch",M
Duke Nukem,"Action, Adventure, Sci-Fi",73%,1991.0,"Madman Dr. Proton is determined to take over the world with his army of Techbots. Duke Nukem, the eponymous hero ventures through cities, chases Dr. Proton to his moonbase, and pursues him through time, to put an end to his mad schemes.",unspecified,Jon St. John,T
Untitled Iron Man game,Action,N/A%,unspecified,No information filled,unspecified,Olivier Proulx,Not Rated
WrestleQuest,Action,N/A%,2023.0,Pro wrestling and RPG fantasy collide in the ultimate pixel powered adventure. Macho Man Randy Savage and tons of other icons offer guidance as you powerbomb your way to glory beyond the ring. This hero's journey ain't just an epic quest.,Nate Flynn,"Jeff Jarrett, Jake Roberts, Booker Huffman, Dallas Page",E
Power Rangers Dino Charge Rumble,Action,74%,2015.0,No information filled,unspecified,"Brennan Mejia, Camille Hyde, Yoshi Sudarso, Michael Taber",unspecified
Serious Sam: The Second Encounter,"Action, Adventure, Comedy",78%,2002.0,"Sam ""Serious"" Stone, the last surviving member of the Human race, must make his way across time and several continents to defeat Mental, the overlord of the aliens invading Earth.","Davor Hunski, Alen Ladavac, Nikola Mosettig, Dean Sekulic","Aimée Leigh, David Hewlett, Sarah Brown, Mike Dopud",M
Babylon's Fall,"Action, Fantasy",34%,2022.0,Multiplayer action role-playing game in which players battle various enemies on their way to reach the peak of the Tower of Babylon.,"Kenji Saito, Takahisa Sugiyama","Kazuhiro Yamaji, Yûko Kaida, Akari Higuchi, Chinatsu Akasaki",T
Serious Sam II,"Action, Adventure, Comedy",72%,2005.0,"The game's story picks up shortly after the end of Serious Sam: The Second Encounter, with the hero of the series, Sam ""Serious"" Stone, continuing his goal to defeat his nemesis, Mental.",Alen Ladavac,"John J. Dick, Elly Fairman, Brian Bowles, Damjan Mravunac",M
Sonic & Sega All-Stars Racing,"Action, Adventure, Family",73%,2010.0,"Race as characters from Sonic and Sega games in a variety of fun tracks, with several weapons, unlockable items, and challenges to enjoy.",Craig Duncan,"Kent Frick, Jason Griffith, Eric Kelso, Hikaru Kobayashi",E10+
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",76%,2014.0,No information filled,unspecified,"Laura Bailey, Crispin Freeman, Bumper Robinson, Roger Craig Smith",E10+
Dark Souls: Artorias of the Abyss,"Action, Adventure, Fantasy",91%,2012.0,Artorias of the Abyss takes place many years before the events of,unspecified,Hidetaka Miyazaki,M
MythForce,"Action, Adventure, Fantasy",N/A%,2023.0,No information filled,unspecified,"Nazneen Contractor, Kimberly-Ann Truong, Alex Spencer, Nikki Rae Hallow",unspecified
Dr. Driving,Action,74%,2013.0,No information filled,unspecified,unspecified,unspecified
Ghostbusters,"Action, Adventure, Comedy",31%,2016.0,"Grab your Proton Pack and join the Ghostbusters alongside your friends, exploring Manhattan, blasting ghosts, and trapping those runaway ghouls.",Chris Tremmel,"Wally Wingert, David W. Collins, Mela Lee, Kate Higgins",E10+
Revolution-X,"Action, Music",%,1994.0,Explore a maze of locations shooting the bad guys and freeing members of the band Aerosmith.,"Jack Haeger, George Petro","Steven Tyler, Joe Perry, Brad Whitford, Tom Hamilton",M
Second Sight,"Action, Adventure, Mystery",77%,2004.0,"John Vattic is awoken from a coma in a secret hi-tech medical facility with a wiped mind and a few bits of memories. Armed with his paranormal and psionic powers he goes off to unravel his past, and destroy the military conspiracy.",unspecified,"Andrew Lawson, Tom Clarke Hill, Doug Cockle, Lynsey Beauchamp",T
Conan,Action,71%,2007.0,Play as Conan and kill your enemies.,Douglas Carrigan,"Ron Perlman, Claudia Black, Christina Pickles, Dwight Schultz",M
Roadkill,"Action, Adventure",68%,2003.0,"Build a powerful gang as you out-think and out-gun your rivals, and you wreak havoc on the environment.",unspecified,"Dameon Clarke, Mark Orvik, Josh Martin, Laura Bailey",M
Steven Universe: Unleash the Light,"Animation, Action, Adventure",79%,2019.0,"When two powerful Gem rulers threaten the newfound peace of Era 3, Steven and his friends must embark on a new RPG quest to stop them, It's time to Unleash the Light.",Chris Graham,"Zach Callison, Michaela Dietz, Estelle, Melissa Fahn",E10+
Cool Spot,"Action, Adventure, Family",65%,1993.0,"Cool Spot is a platformer video game developed and published by Virgin Games for the Sega Genesis and SNES, based on the mascot for 7-Up.",unspecified,David Perry,unspecified
Crimson Skies: High Road to Revenge,"Action, Adventure, Drama",76%,2003.0,Set in a world that travels in the skies rather than cars Nathan Zachary goes on an epic journey to revenge a fallen friend and discover the secrets to a masterminds deadly invention,Matt Brunner,"Charles Dennis, Nika Futterman, Timothy Omundson, Neil Ross",T
Bloons TD 5,"Action, Adventure, Family",76%,2011.0,"Build various towers with different powers and pop bloons across a ton of maps, play online with friends or random players in this epic tower defense strategy game.",unspecified,Stephen Harris,E
Batman: Dark Tomorrow,"Action, Adventure, Crime",38%,2003.0,Batman must stop Ra's al Ghul from taking over the world by traveling to his lair in the Himalayas.,Kenji Terada,"Allen Enlow, Ralph Byers, Nachie Castro, Dean Elliott",T
Baldi's Basics Classic Remastered,"Animation, Action, Adventure",N/A%,2022.0,A remaster of the comedy-horror game based on edutainment games for PCs in the 90s.,Micah McGonigal,"Micah McGonigal, Dr. Sbaitso, Padre Snowmizzle",T
Elden Ring: Shadow of the Erdtree,"Action, Adventure, Fantasy",N/A%,unspecified,"Rise, Tarnished, and let us walk a new path together. An upcoming expansion for ELDEN RING, Shadow of the Erdtree, is currently in development.",unspecified,Hidetaka Miyazaki,M
Half-Life 2: Lost Coast,"Action, Sci-Fi, Thriller",73%,2005.0,Gordon Freeman wakes up to find himself stranded on a beach outside the small town of St. Olga. He meets a fisherman who asks him to destroy the Combine's installation of a rocket shell launcher firing upon the town.,David Speyrer,"Viktor Antonov, Jim French, Chris Green, Randy Lundeen",M
State of Decay,"Action, Horror, Thriller",71%,2013.0,Three Trumbull Valley residents find that the world has degenerated into a zombie apocalypse.,"Kevin Patzelt, Patrick Seitz, Kirk Thornton","Brant Fitzgerald, Drew Hobson, Ethan Korver, Mariel Neto",M
WWE '12,"Action, Sport",75%,2011.0,"Bigger, badder, better. Experience the 2012 WWE roster and participate in the Road to Wrestlemania mode.",Cory Ledesma,"Dwayne Johnson, Dave Bautista, Kevin Nash, Steve Austin",T
Fruit Ninja,Action,%,2010.0,A sensei trains ninjas in the art of the katana by making them cut fruit that's been thrown in midair.,unspecified,unspecified,E
Arzette: The Jewel of Faramore,"Action, Adventure",N/A%,unspecified,"Players accompany Arzette in her journey across the Kingdom of Faramore. During her journey, she will destroy foes, unlock new areas, acquire powerful items, find secrets, all in effort to destroy the world-threatening demon king Daimur.",Seth Fulkerson,"Andy Field, Bradley Gareth, John Linneman, Jeffrey Rath",unspecified
CR: Enter the Matrix,"Action, Adventure, Family",81%,2009.0,An arcade Pachinko machine featuring footage from the Matrix trilogy.,Ohkata,"Laurence Fishburne, Carrie-Anne Moss, Keanu Reeves, Clayton Watson",unspecified
The Orange Box,"Action, Adventure, Comedy",92%,2007.0,"The Orange Box is a collection of five games. Half life 2, Half life 2: Episode 1, Half life 2: Episode 2, Team Fortress 2 and Portal.",unspecified,"Robert Guillaume, Robert Culp, Louis Gossett Jr., Michelle Forbes",M
Die Hard: Vendetta,"Action, Adventure, Crime",62%,2002.0,"Die Hard: Vendetta puts you in the role of John McCalne and takes you on another exciting, wise-cracking chase for criminals.",unspecified,"Michael Blanchard, Jesse Donahue, Reginald VelJohnson, Joe Finetti",M
Shatterline,"Action, Sci-Fi",76%,2023.0,The story of an invasion of Earth by an alien semi-intelligent crystalline entity: a galactic plague that reshapes the planet to its liking.,unspecified,"Greg Ellis, Orion Acaba, Kimberly Brooks, Greg Chun",Not Rated
Huntdown,"Action, Adventure, Sci-Fi",81%,2020.0,"In the mayhem-filled streets of the future where criminal gangs rule and cops fear to tread, only the bounty hunters can free the city from the corrupt fist of felony. Lay waste to the criminal underworld and make a killing in this hard boiled action comedy arcade shooter.",unspecified,unspecified,T
Senran Kagura: Estival Versus,"Action, Adventure, Comedy",74%,2015.0,"When a mystical phenomenon appears, drawing the shinobi world's finest young ladies into a parallel dimension, everything they know about life and death turns upside down. Taken to a strange world resembling a warm summer island, the girls find themselves face to face with their departed loved ones.",Ken'ichiro Takaki,"Yu Asakawa, Masumi Asano, Saori Gotô, Yumi Hara",M
Wasteland 2,"Action, Adventure, Sci-Fi",75%,2014.0,"Sequel to the original 1988 personal computer role-playing game Wasteland, revived by original director Brian Fargo and inXile Entertainment with the return of many key members of the original development team. Wasteland 2 continues the story of the Wasteland's traveling party, with Snake Vargas, Angela Deth and other characters returning throughout the story. Following the events of the original game, you are members of a new squad of Desert Rangers patrolling post-apocalyptic Arizona, investigating new threats to the scattered survivors of nuclear war. Sent on a mission to discover what happened to the recently killed Ace, another member of the original game's party, Team Echo of the Desert Rangers will blaze a trail through multiple locations with highly interactive environments and a branching, flexible story.","Alan Pavlish, Dennis Michael Miller","Marc Graue, Rachel Robinson, Michael Ralph, Sean Chiplock",18
PlanetSide 2,"Action, Adventure, Fantasy",67%,2012.0,"PlanetSide 2 offers an unparalleled free-to-play gaming experience where players battle in massive environments alongside and against thousands of others engaging in intense air and ground combat that spans the alien planet of Auraxis. Players join one of three Empires - Terran Republic, New Conglomerate or Vanu Sovereignty - to fight in an epic war for ultimate control and territory domination. With advanced technology, years of gamer feedback, and a new SOE proprietary MMO game engine called ForgeLight(TM), PlanetSide 2 offers a truly competitive and visceral FPS experience with massive warfare, massive customization and massive community.",unspecified,"Orion Acaba, Chris Jai Alex, DB Cooper, Julie Rei Goldstein",unspecified
Resonance of Fate,"Action, Adventure, Drama",73%,2010.0,"Resonance of Fate is a role-playing game that takes place in the future when the Earth becomes too poisonous to live on and humanity moves to the machine-city of Basel. It is a city built high up to the sky upon a tower-like structure. The story of the game focuses on Vashyron, who is the leader of the PMF (Private Military Firm), as well as two other characters named Zephyr and Leanne, who join Vashyon's group and take on missions from the citizens of Basel.","Takayuki Suguro, Manabu Himukai, Kenichi Kanekura, Joe Moeller, Ryuichi Oonuma, Hajime Toma","Scott Menville, Hiro Shimono, Nolan North, Ken Narita",T
Soul Blade,"Action, Adventure, Fantasy",%,1996.0,"Set in the 16th century, the game revolves around a pair of twin swords full of evil spirits and 8 people who seek them: Hwang - a Korean warrior who wants to use the swords to save his country from invasion Rock - a ""white giant"" in America who thinks the swords will restore memories of his parents. Taki - a Japanese ninja who wants to destroy the swords because they are weakening her current weapon Sophitia - a Greek Valkyrie who is being sent by Hephaestus to destroy the swords. Mitsurugi - a samurai-assassin who wants to use the swords as a weapon to challenge guns Li Long - a Chinese loner who thinks the swords will bring his dead wife back Seigfried - a German knight who believes the wielder of the swords killed his father Seung Mina - a Korean tomboy who wants to prove her independence to her father Voldo - a mute Italian who is being sent after the swords by his master's ghost Cervantes - a Spanish pirate who is in possession of the swords","Teruaki Konishi, Kô Onda","Toshiyuki Morikawa, Hekiru Shiina, Fujiko Takimoto, Jin Yamanoi",T
Chromehounds,"Action, Sci-Fi",74%,2006.0,"In an alternate future, the cold war ends differently resulting in a 3rd world war. With the world in a continued war mentality - new walking tanks called 'Hounds' are created. Three countries face off in a new way each trying to maintain their own sovereignty. The game puts you in control of six different role type hounds (Soldier, Sniper, Defender, Scout, Heavy Gunner, and Tactics Commander). Play through missions where you use each different role type and gain parts to build your own hounds. Then take the battle online where you can make your own squads and join the online campaign to see which of the three countries will reign supreme.",Takuji Yoshida,"Brian Sommer, Greg Weber",T
The Godfather: Mob Wars,"Action, Crime, Drama",78%,2006.0,"The Godfather: Mob Wars is a game designed specifically for the PlayStation Portable. The game offers a traditional strategy game approach for gamers who want to become a part of the Corleone family. Maneuver your mobsters and play the right cards (gameplay uses cards and boards, as seen in traditional strategy games) to take control of NYC one territory at a time. Once things heat up, drop down on the streets to start knocking heads around and claiming territory.",unspecified,"Marlon Brando, Robert Duvall, James Caan, Abe Vigoda",M
Drake of the 99 Dragons,"Action, Adventure, Fantasy",21%,2003.0,"Drake is out for revenge in a supernatural Hong Kong world. You'll join Drake in 25 intense missions, as he battles ruthless villains and female assassins with an array of firearms, short and long blade weapons, and thrown melee weapons. Use Drake's power and agility to slow down the action, fire guns in any direction, and run and backflip off of walls.","Stefan Ljungqvist, Marcus Thorell","Monte Reid, Indy Neidell, Tim Earle, Roger Howard",T
Spy Fox in 'Dry Cereal',"Action, Adventure, Comedy",86%,1997.0,"William The Kid has stolen all the dairy cows in an effort to take over the dairy industry. SPY Corp has sent their top agent, Spy Fox to stop William's plan of dairy destruction. Monkey Penny (who gives Spy Fox important clues), Professor Quack (gives Spy Fox his inventions) Walter Wireless (who helps Spy Fox track down William The Kid's hidden fortress) and Mata Hairy (who gives Spy Fox the passwords) help out Spy Fox on his mission. Along the way he meets villians Artemis J. Bigpig (villainous ""go fish"" player), Russian Blue (seductive owner of the SS Deadweight), and Hong Kong Doodle (NOG's top martial arts master) and of course, William The Kid himself. Set in the Greek island of Asodopolos, Spy Fox gets clues from the inhabitants of the island, and aboard the suspicious SS Deadweight. It's up to Spy Fox to stop William's plans to make dairy milk go bad.",Ron Gilbert,"Robert Zenk, Ken Boynton, Scott Burns, Shelley Reynolds",E
Rumble Roses,"Action, Sport",75%,2004.0,Wrestle other female wrestlers with an all woman wrestling crew in this sexy game from Konami.,Mugio Awano,"Bianca Allen, Donna Burke, Lenne Hardt, Lilia Silva",M
Aliens: Colonial Marines - Stasis Interrupted,"Action, Horror, Sci-Fi",%,2013.0,"Waking up unexpectedly from hypersleep, Lisbeth and the rest of the crew must figure out why the spaceship they are on, the Legato, has been diverted to intercept the USS Sulaco leaving LV-426's orbit.",unspecified,"Michael Biehn, Lance Henriksen",18
Star Wars: Racer Revenge,"Action, Adventure, Sci-Fi",68%,2002.0,The galactic pod-racing championship continues in this sequel to 'Star Wars Episode I: Racer'. Who will win this time?,Jordan Itkowitz,"Nick Jameson, Jake Lloyd, Scott Lawrence, Dominic Armato",E
Wing Commander,"Action, Adventure, Sci-Fi",82%,1990.0,"You're a 2nd Lieutenant just out of the Academy, who joins The Confederation who have been at war with the Kilrathi for the past 20 years.",Chris Roberts,Cam Clarke,unspecified
Mega Man,"Action, Adventure, Sci-Fi",74%,1987.0,A lab assistant robot volunteers to be enhanced for fighting to stop a mad scientist from world domination.,unspecified,Akira Kitamura,E
SOCOM: U.S. Navy SEALs,"Action, Adventure",82%,2002.0,"SOCOM: U.S. Navy Seals is a military action game, putting you in command of an elite four-person team, that takes you to various locales throughout the world, such as Thailand, Turkmenistan and the Congo.",David Sears,"Monica Murray, Andrew Chaikin, Curt Menn, Keith Silverstein",M
Open Season,"Animation, Action, Adventure",59%,2006.0,The video game that follows Boog and Elliot's adventures in Open Season's movie.,Massimo Guarini,"Chris Williams, Maddie Taylor, Kari Wahlgren, Darryl Kurylo",E10+
Onimusha 2: Samurai's Destiny,"Action, Adventure, Fantasy",83%,2002.0,"Ten years after Samanosuke slew the demon king Fortinbras, a new hero arrives with the mystic power to incarcerate the souls of evil into a gauntlet. He and a group of samurais set out to destroy remnant demons and defeat Lord Nobunaga.",Motohide Eshiro,"Jacob Barker, Kenji Hamada, Takanobu Hozumi, Akira Ishida",M
Darkstalkers: The Night Warriors,"Action, Adventure",76%,1994.0,A Gothic-themed fighting game in which ten playable characters based on classic monsters must defend humanity from an intergalactic being.,unspecified,"Kae Araki, Nobuyuki Hiyama, Yayoi Jinguji, Kan Tokumaru",T
Brawlhalla,"Action, Fantasy",61%,2017.0,The fighting video game that consists of mighty characters and crossovers!,unspecified,"Britt Lareau, June Yoon",E10+
Crash Nitro Kart,"Action, Adventure, Family",72%,2003.0,"The Bandicoots, Cortex, and his minions have been transported to a strange alien planet by the ruler, Emperor Velo the 27th. To get back home, they will have to race across the galaxy, battling champions and race Velo himself.",unspecified,"Kevin Michael Richardson, Mel Winkler, Debi Derryberry, Steve Blum",E
SWAT 4,"Action, Adventure, Crime",%,2005.0,"An elite squad of police tactical experts are tasked to bring order to a series of highly volatile scenarios involving hostages, civilians, suspects and other law enforcement officers.",unspecified,"Justin Gross, Chris Edgerly, Nolan North, S. Scott Bullock",M
Ultimate Mortal Kombat,"Action, Fantasy, Sci-Fi",N/A%,2007.0,A faithful recreation of the original arcade version of Ultimate Mortal Kombat 3 that combines the addictive puzzle action of the Puzzle Kombat component of Mortal Kombat Deception in a single DS-friendly package.,unspecified,"Richard Divizio, Kerri Hoskins, John Parrish, Michael O'Brien",M
Ratchet & Clank: Size Matters,"Action, Adventure, Comedy",68%,2007.0,Ratchet and Clank's vacation is interrupted when a little girl is abducted by a forgotten race of highly advanced microscopic robots known as the Technomites.,unspecified,"Sylvia Aimerito, David Kaye, Nolan North, Nicole Sullivan",E10+
Carmageddon,"Action, Crime, Sci-Fi",%,1997.0,"Drive through cities, mine and industrial areas collecting bonuses, damaging competitors' cars, or by running over pedestrians in Carmageddon.",unspecified,Elijah Ilyas Kaduji,M
Brothers in Arms: Road to Hill 30,"Action, Drama, War",78%,2005.0,The game tells the story of the 502nd Parachute Infantry Regiment of the famed 101st Airborne Division who were dropped behind German lines on D-Day.,Randy Pitchford,"Troy Baker, Jeff Broome, Ehren Buttlar, Jonathan Erickson Eisley",M
Cartoon Network Racing,"Action, Adventure, Sport",69%,2006.0,"Cartoon Network Racing combies vehicle racing with the stars from great Cartoon Network shows, for the best in racing action!",Chelsea Faso,"Cathy Cavadini, Tara Strong, Elizabeth Daily, Tom Kane",E
BROK the InvestiGator,"Animation, Action, Adventure",84%,2022.0,"In a futuristic dystopian world where animals have replaced humans, privileged citizens live under a dome. Will Brok, private detective and former boxer, be able to withstand the threats of this corrupted world?",Fabrice Breton,"Bryan J. Olson, Michael Kovach, Lee Foster, Daisy Guevara",T
Secret of Mana,"Action, Adventure, Drama",86%,1993.0,"The story of a boy who pulls out a rusty sword and is banished from Potos. He meets a girl and a Sprite. Together, they journey to gather 8 Mana seeds to save the Mana tree and stop Thanatos and his empire from taking over the world.",unspecified,Kôichi Ishii,unspecified
Katamari Damacy,"Action, Fantasy",86%,2004.0,"Playing as the royal son of the Prince of All Cosmos, you are sent to Earth with orders to roll its contents into several oddly-shaped balls to be used as replacements for the missing stars and constellations in the sky.",Keita Takahashi,"Julia Yermakov, Ryan Drees, Towa McCauley, Michael Fearney",E
Aggressive Inline,"Action, Sport",71%,2002.0,Features professional inline skater and introduces the Juice Meter and Action Button with up to 60 objectives and 15 cinematic events per each of 7 huge levels.,unspecified,"Stevia Wren Haller, Robert Pavlovich, Jimmy Salzarulo, Jessica Schoene",T
Dark Souls III: The Ringed City,"Action, Adventure, Fantasy",91%,2017.0,"After beating the Ashes of Ariandel or nearing the climax of the main game, you reach the ringed city, and are assisted through it by the help of slave knight Gael.",unspecified,"Hidetaka Miyazaki, Isamu Okano, Yui Tanimura",unspecified
Star Wars: Empire at War: Forces of Corruption,"Action, Adventure, Sci-Fi",77%,2006.0,"Tyber Zaan, a crime lord, is freed from prison and creates an empire of crime and destruction named after himself. He then begins his quest for control of the galaxy, destroying Rebels and Imperial alike.",Andre Arsenault,"David Anthony Pizzuto, David W. Collins, David Sobolov, Frank Klepacki",unspecified
Dying Light: The Following - Enhanced Edition,"Action, Adventure, Horror",82%,2016.0,Experience the untold chapter of Kyle Crane's story set in a vast region outside the city of Harran. Gain the trust of the locals and infiltrate a centuries-old cult that hides a dangerous secret.,"Adrian Ciszewski, Pawel Marchewka","Roger Craig Smith, Leila Birch, Jean Gilpin, Chris Bonno",M
Sonic: The Fighters,"Action, Family, Fantasy",54%,1996.0,Choose from a roster of characters from the Sonic the Hedgehog series and fight in a tournament to earn Chaos Emeralds to power a spaceship and stop Doctor Robotnik and Metal Sonic from building a fortress in space.,unspecified,"Hiroshi Kataoka, Yusaku Egami",E
WWF War Zone,Action,66%,1998.0,First WWF (now WWE) title video game for the Nintendo 64. Also released on Playstation X.,unspecified,"Steve Austin, Mark Calaway, Mick Foley, Bret Hart",T
The House of the Dead 2,"Action, Horror, Sci-Fi",74%,1999.0,"Goldman has picked up where he left off, creating smarter, more advanced zombies. As AMS agents James Taylor and Gary Stewart, you must blaze through the streets of New York, ridding it of a nightmare that has returned full force.",Takashi Oda,"Ramsay Scott, Ryan Drees",M
1979 Revolution: Black Friday,"Action, Adventure, Drama",66%,2016.0,"Reza Shirazi, an aspiring photojournalist, who returns to Iran amidst the Iranian Revolution. As he becomes more involved in the events of the Revolution, Reza is forced to make decisions in order to survive.",Navid Khonsari,"Navid Negahban, Bobby Naderi, Farshad Farahat, Omid Abtahi",M
System Shock,"Action, Adventure, Horror",81%,1994.0,"Aboard a space station in a cyberpunk vision of the year 2072, a security hacker attempts to hinder the plans of a malevolent artificial intelligence called SHODAN.",unspecified,"Terri Brosius, Helen Dunsmoir, Austin Grossman",M
Sonic 3D Blast,"Action, Adventure, Family",56%,1996.0,"In this high-tech Sonic platformer, the evil genius, Robotnik, has discovered that the mysterious native birds of Flickies' Island, called ""flickies"" have a power that lets them travel to different dimensions through large gold rings.",unspecified,unspecified,E
Sewer Shark,"Action, Sci-Fi",61%,1992.0,"In the future, much of humanity has been forced to live underground. The player takes the role of a pilot who flies through sewers beneath the paradise Solar City and exterminates creatures at the order of evil Commissioner Stenchler.",John Dykstra,"David Underwood, Robert Costanzo, Kari G. Peyton, Stevie Sterling",PG
Spawn: Armageddon,"Action, Adventure, Drama",63%,2003.0,"Caught between demon's war against the angels in battle known as Armageddon, Spawn struggles to break free from the controlling influences of Heaven and Hell.",unspecified,"Kevin Michael Richardson, David Sobolov, John DiMaggio, J. Grant Albrecht",M
Burnout,"Action, Crime, Sport",68%,2001.0,It's the first in a series of high-speed racing games noted for over-the-top crashes and high-risk gameplay mechanics.,unspecified,Dave Rivas,E
Pokémon White Version,"Action, Adventure, Family",81%,2010.0,"A young Pokémon Trainer sets out to explore the Unova region and become the Pokémon League champion. Along the way, they must battle the nefarious Team Plasma and a mysterious young man named N.",unspecified,Junichi Masuda,E
Rhythm Heaven Fever,"Action, Family, Music",%,2011.0,Rhythm Heaven Fever is a music video game where you're required to play the game in time with the rhythm in order to clear them. These levels range from stabbing peas with a fork to attacking evil spirits with a sword.,unspecified,"Masami Yone, Ko Takeuchi, Takafumi Masaoka, Sachiko Ikeda",E
Star Wars: Galactic Battlegrounds,"Action, Adventure, Sci-Fi",76%,2001.0,Players now get to choose their favorite army from the Star Wars universe and take control of the galaxy.,Garry M. Gaber,"Charles Martinet, Michael Gough, Jake Lloyd, Nick Jameson",T
Samurai Warriors 5,"Action, Adventure",66%,2021.0,No information filled,unspecified,"Ryôhei Arai, Ryosuke Asano, Yôhei Azakami, Yukiyo Fujii",T
Azure Striker Gunvolt 3,Action,N/A%,2022.0,No information filled,"Hiroki Miyazawa, Yoshihisa Tsuda","Kaito Ishikawa, Yû Sasahara, Megu Sakuragawa, Taishi Nakano",T
WWE Day of Reckoning 2,"Action, Sport",69%,2005.0,"Day of Reckoning 2 features improved graphics over its predecessor, a new strategy-based submission system, and a storyline that allows the player to choose paths.",Hirofumi Morino,"Kurt Angle, Dave Bautista, Chris Benoit, Mark Calaway",T
MechWarrior 4: Vengeance,"Action, Adventure, Sci-Fi",76%,2000.0,"With the destruction of the Smoke Jaguar Clan and the abatement of the Clan threat to the Inner Sphere, veteran warrior and estranged noble Ian Dresari returns to his home world, Kentares IV, the site of the bloodiest massacre in the history of the Inner Sphere, only to find that yet another massacre is occurring. His cousin, a puppet loyal to the conquering Lyran Alliance forces, has slain his family and tried to place the world under the rulership of House Steiner. Now Ian is in the lead of a rebel group intent on taking out the pro-Steiner forces on Kentares IV, by any means necessary.",Aristomenis Tsirbas,"Shana Betz, Charles Currier, Grace Del Rey, Evan Helmuth",unspecified
ArmA 3,"Action, War",73%,2013.0,"ARMA 3[N 1] is an open-world, realism-based, military tactical shooter video game developed and published by Bohemia Interactive. It was released for Microsoft Windows in September 2013, and later announced for OS X and Linux in August 2015. ARMA 3's story line takes place in the mid-2030s during the fictional Operation Magnitude, a military operation launched by NATO forces fighting in Europe against ""Eastern armies"" referred to as Canton-Protocol Strategic Alliance Treaty (CSAT), led by a resurgent Iranian military with a coalition of other Middle Eastern and Asian nations.",Jay Crowe,"Joe Weintraub, Brian Caspe, Marc Cram, Jeffrey Koch",T
Final Fight: Streetwise,"Action, Adventure, Crime",64%,2006.0,"Cody Travers was a hero in Metro City... a long time ago. He brought down the Mad Gear gang. But now he's just another boxing trainer. It's his younger brother Kyle that's the star of the streets. A rising underground pit-fighter, born from nothing, meaner than anyone. When Cody is kidnapped, and a new street drug sends Metro City spiraling into chaos, it's down to Kyle to bring the pain to the streets, to find out what's happened to his brother and to stop whoever's responsible for the chaos engulfing the city.",Yoshiaki Hatano,"Trent Kaniuga, Joe Willis, Gerardo Sprigg, Cecil Carthen Jr.",M
Ratchet & Clank: Into the Nexus,"Action, Adventure, Comedy",79%,2013.0,"Ratchet and Clank go after new villains Nef and Vendra after being stranded on the edge of the Galaxy, in the epilogue to the Ratchet and Clank series with new weapons, gadgets and armours. The shortest in the series outside of QfB, this single player shooter offers a last look at our favourite heroes and gives us this final love letter to the series with old favourites returning.",Brian Allgeier,"James Arnold Taylor, David Kaye, Jim Ward, Ali Hillis",E10+
El Shaddai: Ascension of the Metatron,"Action, Adventure, Drama",71%,2011.0,"The story of El Shaddai takes place in a fantastical interpretation of biblical themes, taking primary inspiration from the apocryphal Book of Enoch. Enoch is sent by God to capture the angels which have lapsed in their duties to watch over the human world. These angels, called Grigori, became fascinated with their charges and renounced Heaven to live and breed among the humans. Enoch must traverse their realms, battle their aberrant Nephilim offspring, finally locating the fallen angels and bring them back into Heaven's fold. As Enoch journeys, he is assisted by the head archangel Lucifel.",unspecified,"Ewan Bailey, Oliver Bee, Josh Darcy, Samantha Francis",T
Tales of the Abyss,"Action, Adventure, Drama",79%,2005.0,"Tales of the Abyss is the story of Luke fon Fabre's unintentional journey outside of his mansion, which he has been locked inside of for the last several years, since he was found in an abandoned castle after an kidnapping attempt, with no recollection of his past. Luke soon uncovers a plot to destroy the world as he knows it, and he and his ever expanding party of comrades (including a fire spewing mouse-thing named Mieu) must help to unite two kingdoms, and settle on the matter of his own identity before the world comes to an end.","Yoshito Higuchi, Eiji Kikuchi, Kiyoshi Nagai, Akiyoshi Sarukawa, Masashi Shibano, Naomiki Yanagisawa","Chihiro Suzuki, Yukana, Yasunori Matsumoto, Michiko Neya",T
Obscure: The Aftermath,"Action, Adventure, Drama",74%,2007.0,"Two years ago, at Leafmore High, a group of young teenagers were trapped inside their school and hunted by monsters created through biological experiments by the school's maniac principal, Herbert Friedman. Some of the kids survived that terrible night, while others perished. In an act of revenge and in order to make it out of the nightmare, they killed Friedman and assumed that the horror was over. Now, the survivors have picked up their lives and most of them have gone on to a university in the nearby town of Fallcreek. But all is not right on the university grounds; strange black flowers have suddenly sprung up everywhere on campus. While experimenting with these flowers in class, a dangerous substance was discovered that induces strange but vivid dreams. A handful of students find out that there is more to the flowers than anyone could have expected - when the seeds finally germinate, a bad trip suddenly turns into a horrible reality...",unspecified,"Buster Cox, Ayme Sanchez, E. Reneé Thomas, Larry Bailey",M
